read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
1559509,batch03,60.0,60.0,1,4,2,1144,Pde9a,1
1559512,batch04,54.666666666666664,60.0,2,3,2,1448,Gm31135,1
1559530,batch01,60.0,60.0,1,5,3,1772,Foxp1;Pparg,2
1559568,batch04,60.0,60.0,1,4,3,1417,Zfhx3;Disc1;Hydin,3
1559582,batch03,45.42857142857143,60.0,2,7,3,1886,Gm16793;Mfhas1,2
1559584,batch04,47.8,60.0,2,5,2,1225,2500002B13Rik;Gm30524,2
1559602,batch01,58.666666666666664,58.0,3,3,3,1032,Afdn,1
1559731,batch03,60.0,60.0,2,2,2,781,Pde7a,1
1559964,batch04,60.0,60.0,1,2,2,819,Lnx2;Crcp,2
1560002,batch01,39.75,41.5,1,4,3,1480,Gm45659;2810404M03Rik,2
1560030,batch04,60.0,60.0,1,2,2,1054,Alox5ap;Fry,2
1560123,batch04,60.0,60.0,2,3,2,793,B3glct;Cadm1,2
1560254,batch04,45.25,60.0,2,4,3,1040,Bcar3,1
1560265,batch01,60.0,60.0,1,2,2,747,Ccdc40,1
1560402,batch04,33.0,33.0,2,2,2,526,Enpp6,1
1560406,batch01,45.25,60.0,2,4,2,1126,Pmfbp1,1
1560443,batch03,49.36363636363637,60.0,1,11,3,2161,4930555F03Rik;Tll1;Tenm3,3
1560489,batch01,57.0,57.0,1,2,2,598,Vps35,1
1560514,batch04,53.142857142857146,60.0,1,7,3,2107,Tktl2,1
1560517,batch03,54.6,60.0,1,5,3,1661,Trmt1,1
1560539,batch04,58.666666666666664,60.0,1,3,2,874,Vat1l,1
1560577,batch04,60.0,60.0,2,3,2,909,Abce1;Exoc4,2
1560580,batch04,60.0,60.0,1,3,2,827,Efnb2,1
1560592,batch04,46.0,60.0,2,7,3,1307,Pgbd5;Capn9,2
1560605,batch04,60.0,60.0,3,4,3,1135,Dus2;Kcnd3,2
1560606,batch04,15.25,0.5,3,4,3,1044,Plcl1;Potefam3a,2
